APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
Vasant Leela Apartment for Rent  In Ghodbunder Road,"30,000","₹1,50,000",No Extra Maintenance,900 sqft,Non-Negotiable,Semi Furnished,2 BHK,"Family, Company",01-Nov-2023
Mukti Dham  for Rent  In Thane West,"8,500","₹40,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
"Rajnigandha Chs  for Rent  In Vasant Vihar, Thane West, Thane, Maharashtra, India","21,000","₹1,00,000",No Extra Maintenance,515 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Brahmand Phase Iii for Rent  In Brahmand,"15,000","₹50,000",No Extra Maintenance,620 sqft,Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Thane West,"5,000","₹20,000",No Extra Maintenance,144 sqft,Non-Negotiable,Fully Furnished,1 RK,All,Ready to Move
Casa Ultima for Rent  In Thane West,"26,000","₹1,20,000",No Extra Maintenance,600 sqft,Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Lodha Amara New Tower for Rent  In Kolshet Road,"34,000","₹1,50,000",No Extra Maintenance,900 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,01-Dec-2023
Runwal Plaza for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,425 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Imperial Square Ghodbunderroad Thane West for Rent  In Imperial Square Bhayander Pada,"12,000","₹50,000",No Extra Maintenance,350 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Thane West,"12,000","₹50,000",No Extra Maintenance,150 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
"Pushpanjali Residency for Rent  In Owale, Thane West","15,000","₹40,000",No Extra Maintenance,617 sqft,Negotiable,Unfurnished,1 BHK,All,10-Dec-2023
Golden Park Tower Chs for Rent  In Thane West,"31,000","₹1,30,000",No Extra Maintenance,930 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Apartment for Rent  In Thane West,"5,000","₹12,500",No Extra Maintenance,400 sqft,Non-Negotiable,Semi Furnished,1 BHK,Male,Ready to Move
"Dosti Desire Dosti Joy, Mumbai for Rent  In Dosti Joy","20,000","₹75,000",No Extra Maintenance,310 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Puraniks Rumah Bali for Rent  In Thane West,"22,000","₹75,000",No Extra Maintenance,639 sqft,Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
Brahmand Phase 6 for Rent  In Thane West,"19,000","₹65,000",No Extra Maintenance,575 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,17-Oct-2023
Haware Citi for Rent  In Thane West,"9,000","₹30,000",No Extra Maintenance,340 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Parijat Gardens Marigold Chs for Rent  In Thane West,"16,500","₹60,000",No Extra Maintenance,450 sqft,Non-Negotiable,Fully Furnished,1 BHK,Male,Ready to Move
"Vijay Orovia, Thane West for Rent  In Thane West","18,000","₹50,000",No Extra Maintenance,438 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Puranik City Manchester for Rent  In Kasarvadavali,"15,000","₹65,000",No Extra Maintenance,581 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Mukund Society for Rent  In Mulund East,"25,000","₹1,00,000",No Extra Maintenance,520 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,01-Dec-2023
Pratap Chs for Rent  In Thane West,"19,000","₹75,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Gemini Hiranandani Meadows for Rent  In Thane West,"50,000","₹1,50,000",No Extra Maintenance,"1,230 sqft",Non-Negotiable,Semi Furnished,3 BHK,All,01-Dec-2023
Fiama Residency Thane for Rent  In Thane West,"18,000","₹1,00,000","+₹ 1,500Maintenance",960 sqft,Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Hiranandani Canary, Mumbai for Rent  In Mumbai","55,000","₹3,00,000",No Extra Maintenance,"1,320 sqft",Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Sidhivinayak for Rent  In Thane West,"8,800","₹50,000",No Extra Maintenance,270 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
Hubtown Greenwoods D Wing for Rent  In Thane West,"27,000","₹1,00,000",No Extra Maintenance,730 sqft,Non-Negotiable,Unfurnished,2 BHK,All,30-Oct-2023
Kishori Apartment,"7,000","₹30,000",No Extra Maintenance,200 sqft,Non-Negotiable,Unfurnished,1 RK,"Family, Bachelor",Ready to Move
Sagar Society  for Rent  In  Thane East,"12,000","₹50,000",No Extra Maintenance,225 sqft,Non-Negotiable,Unfurnished,1 RK,Family,01-Nov-2023
Om Sai Anand  for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,435 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Dec-2023
"Chirak Nagar, Thane West","6,500","₹30,000",No Extra Maintenance,400 sqft,Negotiable,Semi Furnished,1 RK,All,Ready to Move
"Swami Chs for Rent  In Lokmanya Nagar, Thane West","14,000","₹1,00,000",No Extra Maintenance,430 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Ganesh Darshan Building Thane West for Rent  In Shivaji Nagar Navpada Road,"23,000","₹60,000",No Extra Maintenance,350 sqft,Negotiable,Semi Furnished,1 BHK,Bachelor,Ready to Move
Owale,"50,000","₹2,00,000",No Extra Maintenance,"2,200 sqft",Negotiable,Unfurnished,3 BHK,All,Ready to Move
Lodha Splendora for Rent  In Thane West,"35,000","₹1,80,000",No Extra Maintenance,"1,140 sqft",Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Ajita for Rent  In Rambhau Mhalgi Road, Thane East","15,000","₹1,00,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Lodha Splendora River View for Rent  In Ghodbunder Road,"30,000","₹1,80,000",No Extra Maintenance,646 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Hansnagar Society for Rent  In Thane,"17,000","₹80,000",No Extra Maintenance,400 sqft,Negotiable,Semi Furnished,1 BHK,Family,17-Oct-2023
Bhoomi Acres for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,635 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
Puraniks City Phase 2 for Rent  In Thane West,"15,000","₹75,000",No Extra Maintenance,497 sqft,Non-Negotiable,Semi Furnished,1 BHK,"Family, Company",Ready to Move
404 Kadambari Chs  Kishan Nagar No 2 Wagle Esate Thane W for Rent  In Thane West,"7,500","₹30,000",No Extra Maintenance,300 sqft,Negotiable,Unfurnished,1 RK,All,19-Oct-2023
"Tata Serein, Mumbai for Rent  In Thane West","48,000","₹2,00,000",No Extra Maintenance,752 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,24-Oct-2023
Near Satguru Gardens for Rent  In Jijamata Hall,"22,000","₹1,00,000",No Extra Maintenance,630 sqft,Negotiable,Semi Furnished,1 BHK,"Family, Company",Ready to Move
Chandiwala Complex for Rent  In Thane West,"27,000","₹1,50,000",No Extra Maintenance,620 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Cosmos Jewels for Rent  In Thane West,"25,000","₹1,20,000",No Extra Maintenance,996 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Rosa Gardenia, Thane West for Rent  In Thane West","28,000","₹1,00,000",No Extra Maintenance,990 sqft,Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Thane West,"7,000","₹30,000",No Extra Maintenance,180 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
Devdaya Park Thane for Rent  In Thane West,"65,000","₹5,00,000",No Extra Maintenance,"1,700 sqft",Negotiable,Fully Furnished,4 BHK,All,Ready to Move
Shaligram Chs for Rent  In Majiwada,"25,000","₹1,00,000",No Extra Maintenance,845 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Hubtown Greenwoods for Rent  In Thane West,"37,000","₹1,00,000",No Extra Maintenance,730 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Swastik Residency, Thane West for Rent  In Thane West","22,000","₹1,00,000",No Extra Maintenance,910 sqft,Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Shri Siddhi Society for Rent  In Kopri,"21,000","₹1,25,000",No Extra Maintenance,610 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Swami Narayan Coop Hsg Soc for Rent  In Thane West,"12,000","₹60,000",No Extra Maintenance,380 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Raymond Ten X Habitat Raymond Realty Tower K for Rent  In Mumbai,"40,000","₹1,50,000",No Extra Maintenance,900 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Horizon Flora for Rent  In Horizon Flora,"16,000","₹50,000",No Extra Maintenance,500 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Thane West,"6,500","₹25,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 RK,All,01-Nov-2023
"Skylite, Cosmos Horizon  for Rent  In Pokharan Road Number 2, Thane West","39,500","₹2,50,000",No Extra Maintenance,"1,089 sqft",Non-Negotiable,Fully Furnished,2 BHK,Family,01-Nov-2023
Bhoomi Acers for Rent  In Thane West,"27,000","₹1,50,000",No Extra Maintenance,"1,130 sqft",Negotiable,Unfurnished,2 BHK,All,29-Nov-2023
Shrinik Cooperative Housing Society for Rent  In Thane West,"30,000","₹1,80,000",No Extra Maintenance,800 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Lodha Amara for Rent  In Thane,"32,000","₹1,50,000",No Extra Maintenance,980 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,01-Dec-2023
Puraniks Hometown 1 for Rent  In Mumbai,"15,000","₹50,000",No Extra Maintenance,550 sqft,Negotiable,Unfurnished,1 BHK,"Family, Bachelor",01-Nov-2023
"Chandrodaya Building, Thane for Rent  In Kisan Nagar 3","7,500","₹25,000",No Extra Maintenance,300 sqft,Non-Negotiable,Unfurnished,1 BHK,All,01-Dec-2023
Thane West,"3,000","₹15,000",No Extra Maintenance,100 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
"Unique Greens, Thane West for Rent  In Thane West","17,000","₹1,00,000",No Extra Maintenance,740 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
"Gopal Bhavan,2nd Floor,room No.1,bhatwadi,kisannagar No.3 Wagle Estate Road No.16,thane.west. for Rent  In Kisan Nagar, Thane West","9,000","₹30,000",+₹ 300Maintenance,290 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
Puraniks Rumah Bali for Rent  In Thane West,"19,000","₹60,000",No Extra Maintenance,850 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Revati for Rent  In Thane West,"26,000","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Unfurnished,2 BHK,Company,01-Nov-2023
"Urmila Apartment, for Rent  In Thane West","15,000","₹80,000",+₹ 800Maintenance,650 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
"Nexus Hyde Park Residency Phase 2, Thane W for Rent  In Hyde Park Premium Chs Ltd., E1 & E2 Building","38,000","₹1,50,000",No Extra Maintenance,910 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Lodha Amara for Rent  In Thane,"28,500","₹1,20,000",No Extra Maintenance,472 sqft,Negotiable,Fully Furnished,1 BHK,Family,01-Nov-2023
Flower Valley Complex for Rent  In Thane West,"35,000","₹1,20,000",No Extra Maintenance,"1,106 sqft",Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Tulsi  Vihar Chs, Thane West for Rent  In Thane West","23,900","₹1,00,000",No Extra Maintenance,730 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,01-Dec-2023
" Eagleridge B Hiranandani Estate for Rent  In Hiranandani Estate, Thane West, Thane, Maharashtra, India","45,000","₹2,00,000",No Extra Maintenance,999 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Swargandha Chs for Rent  In Shree Nagar,"24,500","₹1,00,000",No Extra Maintenance,750 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,01-Nov-2023
Apartment for Rent  In Thane West,"30,000","₹1,80,000",No Extra Maintenance,800 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Thane West,"9,000","₹30,000",No Extra Maintenance,250 sqft,Negotiable,Unfurnished,1 RK,All,28-Oct-2023
Vihang Hills for Rent  In Thane West,"20,000","₹50,000",No Extra Maintenance,555 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Manan Heights for Rent  In Wagbil Road, Thane West","18,000","₹70,000",No Extra Maintenance,680 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Chawan Tower for Rent  In Savarkar Nagar, Thane West","16,000","₹60,000",No Extra Maintenance,450 sqft,Non-Negotiable,Semi Furnished,1 BHK,"Family, Bachelor",Ready to Move
Pushpanjali Residency Phase 1 for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,600 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
Ganga Mathura Co-op Housing Society for Rent  In Thane,"19,000","₹1,00,000","+₹ 2,000Maintenance",545 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
"Yashodeep  for Rent  In Kopri, Thane East","40,000","₹1,00,000",No Extra Maintenance,780 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Vasant Vihar for Rent  In Thane,"50,006","₹4,00,000","+₹ 10,000Maintenance",700 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Runwal Pearl for Rent  In Manpada,"32,000","₹2,00,000",No Extra Maintenance,770 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Puranik Pratah Pushp for Rent  In Ghodbunder Road,"15,500","₹55,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,All,20-Oct-2023
Prakruti Park for Rent  In Brahmand,"28,000","₹1,00,000",No Extra Maintenance,700 sqft,Negotiable,Semi Furnished,2 BHK,All,01-Nov-2023
"Unnathi Woods Phase 7, for Rent  In Unnathi Woods - Phase 7ab","25,000","₹2,50,000",No Extra Maintenance,480 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,01-Nov-2023
Raunak Unnathi Woods Phase 3 for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,625 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Unnathi Woods Phase 6 for Rent  In Thane West,"22,000","₹75,000",No Extra Maintenance,875 sqft,Negotiable,Semi Furnished,2 BHK,Family,10-Nov-2023
Rumah Bali for Rent  In Thane West,"24,000","₹1,00,000",No Extra Maintenance,"1,020 sqft",Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Shivshrusti Park Thane  for Rent  In Savarkar Nagar, Thane West","12,500","₹7,50,000",No Extra Maintenance,460 sqft,Non-Negotiable,Unfurnished,1 RK,"Family, Male",15-Dec-2023
Ravi Estate for Rent  In Pokhran Road No One,"22,000","₹50,000","+₹ 5,000Maintenance",515 sqft,Negotiable,Semi Furnished,1 BHK,Family,25-Nov-2023
New Brahmand Phase 8 Chs for Rent  In Brahmand,"25,000","₹1,00,000",No Extra Maintenance,980 sqft,Negotiable,Semi Furnished,2 BHK,Company,05-Nov-2023
Raunak Heights for Rent  In Thane,"20,000","₹50,000",No Extra Maintenance,460 sqft,Negotiable,Semi Furnished,1 BHK,All,20-Oct-2023
Hiranandani Estate Thana for Rent  In Hiranandani Estate,"18,500","₹35,000",No Extra Maintenance,550 sqft,Negotiable,Fully Furnished,1 BHK,Female,Ready to Move
Rajaram Sukur Sapphire for Rent  In Sai Nagar Road,"17,000","₹75,000",No Extra Maintenance,419 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Vrindavan Society for Rent  In Thane West,"17,000","₹80,000",No Extra Maintenance,545 sqft,Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Bhoomi Acres for Rent  In Thane West,"14,000","₹60,000",No Extra Maintenance,460 sqft,Non-Negotiable,Unfurnished,1 RK,Family,31-Oct-2023
 One Hiranandani Park for Rent  In Thane West,"35,000","₹1,70,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Dosti Desire Dosti Pearl for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,684 sqft,Negotiable,Semi Furnished,2 BHK,Family,01-Dec-2023
Tony Mension Co.oo.society  Thane West for Rent  In Thane West,"10,700","₹50,000",No Extra Maintenance,550 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Transit Camp  for Rent  In Thane,"5,000","₹20,000",No Extra Maintenance,220 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
Vijay Nagari for Rent  In Waghbil,"13,000","₹50,000",No Extra Maintenance,465 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Kabra Galaxy, Thane West for Rent  In Thane West","28,000","₹1,20,000",No Extra Maintenance,925 sqft,Negotiable,Fully Furnished,2 BHK,"Family, Company",Ready to Move
Trinity Hills for Rent  In Haware City,"22,000","₹1,00,000",No Extra Maintenance,"1,150 sqft",Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
"Ojass Satlaj Society Thane West for Rent  In Louis Wadi, Thane West","37,000","₹1,50,000",No Extra Maintenance,880 sqft,Negotiable,Semi Furnished,2 BHK,"Family, Company",Ready to Move
Radha Sahaniwas for Rent  In  Thane West,"40,000","₹1,80,000",No Extra Maintenance,540 sqft,Negotiable,Fully Furnished,1 BHK,Company,01-Nov-2023
Thane West,"7,000","₹30,000",No Extra Maintenance,300 sqft,Non-Negotiable,Unfurnished,1 RK,Family,12-Dec-2023
"Chendani Koliwada,","5,000","₹20,000",No Extra Maintenance,150 sqft,Non-Negotiable,Semi Furnished,1 RK,Bachelor,15-Nov-2023
Vihang Valley Phase 2 for Rent  In Thane West,"16,000","₹60,000",No Extra Maintenance,600 sqft,Negotiable,Unfurnished,1 BHK,Family,08-Dec-2023
Puraniks Rumah Bali for Rent  In Thane West,"21,000","₹1,26,000",No Extra Maintenance,769 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Rosa Manhattan for Rent  In ???? ?????,"45,000","₹2,50,000",No Extra Maintenance,700 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
"Raymond Ten X Habitat, Pokhran Road No Two for Rent  In Pokhran Road No Two","37,500","₹1,50,000",No Extra Maintenance,614 sqft,Negotiable,Semi Furnished,2 BHK,"Family, Company",Ready to Move
"Om Mahavir Chs, Bhandar Ali, Near Gold Cinema Thane for Rent  In Gold Cinema, Thane","15,000","₹1,00,000",No Extra Maintenance,400 sqft,Negotiable,Unfurnished,1 RK,All,20-Oct-2023
Karmakshetra Chs for Rent  In Thane West,"22,000","₹1,00,000",No Extra Maintenance,500 sqft,Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
"Maitreya Society  for Rent  In Kopri, Thane East","13,000","₹40,000",No Extra Maintenance,320 sqft,Negotiable,Semi Furnished,1 RK,Family,Ready to Move
Cosmos County Casa Wing B Chs Ltd  for Rent  In Owala Naka,"13,000","₹50,000",No Extra Maintenance,450 sqft,Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Shakti Dham Thane for Rent  In Wagle Estate,"19,000","₹90,000",No Extra Maintenance,750 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Chhabhaiya Park for Rent  In Thane West,"20,000","₹70,000",No Extra Maintenance,495 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
Ganaraj Heights for Rent  In Adarsh Nagar,"50,000","₹2,00,000","+₹ 5,000Maintenance","1,350 sqft",Non-Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Single Building for Rent  In Thane West,"22,000","₹1,25,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,1 BHK,All,26-Nov-2023
Mitra Niwas for Rent  In Shreerang Education Society,"14,000","₹60,000",No Extra Maintenance,460 sqft,Non-Negotiable,Semi Furnished,1 RK,Family,Ready to Move
Devashree Park for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,"1,075 sqft",Non-Negotiable,Unfurnished,2 BHK,All,01-Nov-2023
"Mansarovar Society Thane 400610 for Rent  In Keshar Upvan Road, Thane West","8,000","₹40,000",No Extra Maintenance,290 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Pupanaji Residency  for Rent  In Thane West,"15,000","₹75,000",No Extra Maintenance,590 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,04-Dec-2023
Thane West,"4,000","₹20,000",No Extra Maintenance,150 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
"Nalanda Chs Thane (w) for Rent  In Naupada, Thane West","47,000","₹2,00,000",No Extra Maintenance,"1,400 sqft",Negotiable,Semi Furnished,2 BHK,"Family, Company",10-Nov-2023
Prakruti Pearl for Rent  In Thane West,"75,000","₹3,50,000",No Extra Maintenance,"1,650 sqft",Negotiable,Fully Furnished,3 BHK,Family,Ready to Move
Tejadeep Heights for Rent  In Thane West,"40,000","₹1,59,999",No Extra Maintenance,"1,250 sqft",Negotiable,Unfurnished,2 BHK,All,Ready to Move
Puranik Rumah Bali for Rent  In Puranik Rumah Bali Phase 3,"24,000","₹1,20,000",No Extra Maintenance,580 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
"Oswal Park, Thane for Rent  In Thane West","35,000","₹1,50,000",No Extra Maintenance,840 sqft,Negotiable,Fully Furnished,2 BHK,All,Ready to Move
Aarti Ace Homes for Rent  In  Thane West,"16,000","₹50,000",No Extra Maintenance,650 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Ratnatej A Wing  for Rent  In Ratna Tej Tower,"15,000","₹60,000",No Extra Maintenance,545 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Kavita Kunj Thane East for Rent  In Siddhivinayak Mandir Road, Thane East","23,000","₹1,00,000",No Extra Maintenance,580 sqft,Negotiable,Semi Furnished,1 BHK,Family,06-Nov-2023
